Trade_ID,Time_In,Time_Out,Symbol,Side,Entry,TP,SL,Close_Price,Result,PnL_Value,RR_Ratio,Winrate,Timeframe_Origin
1773197104,2026-03-11 09:45:00,2026-03-11 12:00:04,BTC/USDT:USDT,XOẠC 🔴,69661.2,68661.2,70161.2,70161.2,LOSS,-500.00,-1.00,70.2%,M15 Scalping
1773201605,2026-03-11 11:00:06,2026-03-11 20:33:30,BTC/USDT:USDT,XOẠC 🔴,69518.4,67348.56428571428,70603.31785714286,70603.31785714286,LOSS,-1084.92,-1.00,77.0%,H1 Trung Hạn
1773208804,2026-03-11 13:00:05,2026-03-11 14:01:23,BTC/USDT:USDT,XOẠC 🔴,69469.0,68469.0,69969.0,69969.0,LOSS,-500.00,-1.00,75.3%,M15 Scalping
1773216904,2026-03-11 15:15:05,2026-03-11 20:20:20,BTC/USDT:USDT,XOẠC 🔴,69603.2,68603.2,70103.2,70103.2,LOSS,-500.00,-1.00,72.3%,M15 Scalping
1773235803,2026-03-11 20:30:06,2026-03-11 20:36:35,BTC/USDT:USDT,XOẠC 🔴,70183.3,69183.3,70683.3,70683.3,LOSS,-500.00,-1.00,68.8%,M15 Scalping
1773236703,2026-03-11 20:45:04,2026-03-12 00:17:11,BTC/USDT:USDT,XOẠC 🔴,70400.1,69305.74285714286,70947.27857142859,70947.27857142859,LOSS,-547.18,-1.00,68.8%,M15 Scalping
1773237604,2026-03-11 21:00:05,2026-03-12 00:24:30,BTC/USDT:USDT,XOẠC 🔴,70138.5,68138.5,71138.5,71138.5,LOSS,-1000.00,-1.00,75.9%,H1 Trung Hạn
1773249870,2026-03-12 00:24:30,2026-03-12 09:37:39,BTC/USDT:USDT,LÔNG 🟢,71161.4,75542.035,69409.146,69409.146,LOSS,-1752.25,-1.00,0.0%,H1 Hợp Lưu H4
1773250203,2026-03-12 00:30:04,2026-03-12 08:52:29,BTC/USDT:USDT,XOẠC 🔴,71222.8,69736.21428571429,71966.09285714285,69736.21428571429,WIN,1486.59,2.00,71.1%,M15 Scalping
1773280804,2026-03-12 09:00:05,2026-03-12 17:37:16,BTC/USDT:USDT,XOẠC 🔴,69808.4,68808.4,70308.4,70308.4,LOSS,-500.00,-1.00,65.8%,M15 Scalping
1773283059,2026-03-12 09:37:39,,BTC/USDT:USDT,XOẠC 🔴,69382.6,66534.26750000005,70521.93299999999,,OPEN,0.00,0.00,0.0%,H1 Hợp Lưu H4
1773312003,2026-03-12 17:40:04,,BTC/USDT:USDT,XOẠC 🔴,70115.5,69115.5,70615.5,,OPEN,0.00,0.00,67.6%,M15 Scalping
